sentence_number;design_decision;classification;alternative_classification
1;0;-;-
2;0;-;-
3;0;-;-
4;0;-;-
5;0;-;-
6;0;-;-
7;0;-;-
8;0;-;-
9;1;framework;-
10;1;programming language;-
11;1;framework;-
12;0;-;-
13;0;-;-
14;0;-;-
15;0;-;-
16;0;-;-
17;1;component;architectural style
18;0;-;-
19;1;api;-
20;1;api;-
21;1;framework;-
22;1;programming language;-
23;0;-;-
24;1;component;-
25;1;data base;-
26;1;data base;-
27;0;-;-
28;1;component;-
29;1;platform;-
30;0;-;-
31;1;component;-
32;0;-;-
33;1;platform;-
34;0;-;-
35;0;-;-
36;0;-;-
37;0;-;-
38;0;-;-
39;1;framework;reference architecture
40;0;-;-
41;0;-;-
42;0;-;-
43;1;component;-
44;1;architectural style;-
45;0;-;-
46;1;component;-
47;0;-;-
48;0;-;-
49;1;component;-
50;1;function;-
51;0;-;-
52;1;component;-
53;1;function;-
54;0;-;-
55;1;component;-
56;1;user interface;framework
57;1;user interface;framework
58;0;-;-
59;1;component;-
60;1;function;-
61;0;-;-
62;1;component;-
63;1;data file;-
64;0;-;-
65;1;component;-
66;1;function;-
67;0;-;-
68;1;component;-
69;1;api;function
70;0;-;-
71;0;-;-
72;0;-;-
73;0;-;-
74;0;-;-
75;0;-;-
76;0;-;-
77;0;-;-
78;1;guideline;-
79;0;-;-
80;1;platform;-
81;1;platform;-
82;0;-;-
83;1;guideline;-
84;1;data base;-
85;0;-;-
86;0;-;-
87;1;api;guideline
88;0;-;-
89;1;platform;programming language
90;0;-;-
91;1;platform;-
92;1;platform;-
93;1;framework;-
94;0;-;-
95;1;platform;framework
96;0;-;-
97;1;architectural style;platform
98;0;-;-
99;0;-;-
100;0;-;-
101;0;-;-
102;0;-;-
103;1;class;-
104;0;-;-
105;1;data base;-
106;1;association;-
107;1;association;-
108;0;-;-
109;0;-;-
110;0;-;-
111;0;-;-
112;0;-;-
113;1;data base;framework
114;1;class;-
115;0;-;-
116;0;-;-
117;0;-;-
118;0;-;-
119;0;-;-
120;0;-;-
121;0;-;-
122;1;function;-
123;1;framework;-
124;0;-;-
125;0;-;-
126;0;-;-
127;1;api;framework
128;0;-;-
129;0;-;-
130;0;-;-
131;0;-;-
132;0;-;-
133;0;-;-
134;0;-;-
135;0;-;-
136;0;-;-
137;0;-;-
138;0;-;-
139;0;-;-
140;0;-;-
141;0;-;-
142;0;-;-
143;0;-;-
144;0;-;-
145;0;-;-
146;0;-;-
147;0;-;-
148;0;-;-
149;0;-;-
150;0;-;-
151;0;-;-
152;0;-;-
153;0;-;-
154;0;-;-
155;0;-;-
156;0;-;-
157;0;-;-
158;0;-;-
159;0;-;-
