sentence_number,design_decision,classification,alternative_classification
1,0,-,-
2,1,framework,database
3,1,architecture style,-
4,1,component,architecture style
5,1,database,architecture style
6,0,-,-
7,0,-,-
8,0,-,-
9,0,-,-
10,1,design rule,-
11,1,design rule,platform
12,1,method,-
13,1,constraint,-
14,1,guideline,technology
15,1,database,-
16,1,database,method
17,1,database,-
18,1,database,-
19,1,guideline,-
20,0,-,-
21,0,-,-
22,0,-,-
23,0,-,-
24,1,package,programming language
25,1,method,-
26,1,method,data file
27,1,platform,-
28,1,method,component
29,0,-,-
30,0,-,-
31,0,-,-
32,1,platform,-
33,0,-,-
