sentence_number,design_decision,classification,alternative_classification,
1,0,-,-,
2,0,-,-,
3,1,architecture style,programming language,
4,1,component,user interface,
5,1,programming language,component,
6,0,-,-,
7,0,-,-,
8,1,database,,
9,0,-,-,
10,0,-,-,
11,0,-,-,
12,1,user interface,-,
13,1,platform,programming language,
14,1,programming language,-,
15,1,design rule,programming language,
16,1,programming language,,
17,0,-,-,
18,0,-,-,
19,0,-,-,
20,0,interface definition,component,
21,1,api,,
22,0,-,-,
23,0,-,-,
24,1,interface defintion,API,
25,1,platform,programming language,
26,1,relationship,architectural style,component
27,1,data file,-,
28,0,-,-,
29,0,-,-,
30,1,interface defintion,component,
31,1,constraint,-,
32,1,reference architecture,-,
33,0,-,-,
34,0,-,-,
35,1,component,method,
36,1,programming language,architectural style,
37,1,tool,platform,
38,0,-,-,
39,0,-,-,
40,0,-,-,
41,0,-,-,
42,1,method,-,
43,1,tool,platform,
44,1,library,programming language,
45,1,library,database,
