sentence_number,design_decision,classification,alternative_classification,,
1,0,,,,
2,1,architectural style,method,,
3,0,,,,
4,1,component,programming language,,
5,1,executive decision,,,
6,1,method,,,
7,1,method,,,
8,0,,,,
9,1,platform,messaging,,
10,0,,,,
11,1,arrangement decision,,,
12,1,component,,,
13,1,programming language,method,API,
14,1,method,component,,
15,1,component,framework,,
16,1,platform,,,
17,1,method,,,
18,1,platform,,,
19,0,,,,
20,1,platform,,,
21,1,platform,component,,
22,1,property decision,,,
23,1,method,data base,,
24,1,method,algorithm,,
25,1,property decision,,,
26,0,,,,
27,1,platform,,,
28,1,method,platform,,
29,1,platform,framework,,
30,0,,,,
31,0,,,,
32,1,platform,,,
33,1,API,messaging,,
34,0,,,,
35,1,arrangement decision,,,
36,1,platform,API,programming language,
37,1,framework,architectural pattern,library,API
38,1,messaging,data base,,
39,0,,,,
40,1,arrangement decision,,,
41,1,class,,,
42,1,class,method,,
43,1,class,method,,
44,1,class,method,,
45,1,class,method,,
46,1,class,method,,
47,1,reference,,,
48,0,,,,
49,1,component,,,
50,1,architectural pattern,library,,
51,1,design rule,,,
52,0,,,,
53,1,class,,,
54,1,class,method,,
55,1,class,attribute,,
56,1,messaging,method,,
57,1,class,method,messaging,
58,1,messaging,API,,
59,1,messaging,API,,
60,0,,,,
61,0,,,,
62,1,reference architecture,component,,
63,1,class,method,,
64,1,arrangement decision,,,
65,1,class,method,,
66,1,arrangement decision,,,
67,0,,,,
68,1,reference architecture,API,method,
69,1,method,messaging,,
70,1,class,data base,,
71,1,messaging,API,,
72,0,,,,
73,1,programming language,,,
74,0,,,,
75,0,,,,
76,1,class,method,,
77,0,,,,
78,0,,,,
79,0,,,,
80,0,,,,
81,0,,,,
82,0,,,,
83,1,method,messaging,,
84,1,method,attribut,,
85,1,method,,,
86,1,property decision,,,
87,1,component,programming language,,
88,1,method,,,
89,0,,,,
90,0,,,,
91,0,,,,
92,1,method,messaging,,
93,1,messaging,component,,
94,1,component,data file,,
95,1,attribute,method,,
96,0,,,,
97,0,,,,
98,1,technology,data file,,
99,1,method,,,
100,0,,,,
101,0,,,,
102,0,,,,
103,1,messaging,data base,component,
104,0,,,,
105,0,,,,
106,0,,,,
107,0,,,,
108,1,library,,,
109,0,,,,
110,0,,,,
111,1,class,method,,
112,1,guideline,,,
113,0,,,,
