sentence_number;design_decision;classification;alternative_classification
1;0;-;-
2;0;-;-
3;0;-;-
4;1;framework;-
5;0;-;-
6;0;-;-
7;1;tool;-
8;0;-;-
9;0;-;-
10;0;-;-
11;0;-;-
12;0;-;-
13;0;-;-
14;0;-;-
15;0;-;-
16;0;-;-
17;0;-;-
18;0;-;-
19;0;-;-
20;0;-;-
21;0;-;-
22;0;-;-
23;0;-;-
24;0;-;-
25;0;-;-
26;0;-;-
27;0;-;-
28;0;-;-
29;0;-;-
30;0;-;-
31;0;-;-
32;0;-;-
33;0;-;-
34;0;-;-
35;0;-;-
36;0;-;-
37;0;-;-
38;0;-;-
39;0;-;-
40;0;-;-
41;1;platform;function
42;1;framework;-
43;1;platform;framework
44;1;messaging;function
45;0;-;-
46;1;messaging;association
47;1;design rule;messaging
48;1;function;association
49;0;-;-
50;1;association;-
51;0;-;-
52;1;data base;framework
53;1;framework;-
54;1;framework;-
55;1;function;-
56;1;function;architectural style
57;1;framework;-
58;1;function;framework
59;1;function;-
60;1;framework;algorithm
61;1;association;-
62;1;design rule;-
63;0;-;-
64;1;design rule;-
65;1;design rule;-
66;0;-;-
67;0;-;-
68;0;-;-
69;1;function;-
70;1;function;-
71;0;-;-
72;0;-;-
73;1;function;-
74;1;function;-
75;1;function;-
76;1;function;-
77;0;-;-
78;0;-;-
79;0;-;-
80;0;-;-
81;1;function;-
82;1;function;-
83;0;-;-
84;1;function;messaging
85;1;function;-
86;1;function;association
87;1;association;-
88;0;-;-
89;0;-;-
90;0;-;-
91;0;-;-
92;0;-;-
93;0;-;-
94;0;-;-
95;0;-;-
96;1;organizational/process-related;-
97;1;association;function
98;0;-;-
99;0;-;-
100;0;-;-
101;0;-;-
102;1;messaging;-
103;0;-;-
104;0;-;-
105;1;association;-
106;1;user interface;function
107;0;-;-
108;1;api;function
109;0;-;-
110;1;messaging;-
111;1;api;function
112;1;function;-
113;1;design rule;-
114;1;function;-
115;1;design rule;-
116;1;function;-
117;1;messaging;-
118;1;function;-
119;1;messaging;association
120;1;association;function
121;1;function;-
122;1;data base;-
123;1;design rule;-
124;1;function;-
125;0;-;-
126;0;-;-
127;0;-;-
128;0;-;-
129;1;design rule;api
130;0;-;-
