sentence_number;design_decision;classification;alternative_classification
1;0;-;-
2;0;-;-
3;1;platform;-
4;0;-;-
5;1;programming language;framework
6;1;api;-
7;1;programming language;-
8;1;platform;-
9;1;platform;-
10;1;platform;-
11;1;platform;-
12;1;platform;-
13;1;function;-
14;1;design rule;-
15;1;design rule;-
16;1;function;-
17;1;relation;programming language
18;1;api;-
19;1;platform;-
20;1;tool;-
21;1;api;-
22;0;-;-
23;1;architectural style;-
24;1;function;-
25;1;function;-
26;0;-;-
27;0;-;-
28;1;programming language;api
29;1;platform;-
30;1;integration;platform
31;1;function;platform
32;1;architectural style;-
33;1;function;-
34;0;-;-
35;1;architectural style;-
36;1;programming language;api
37;1;architectural style;-
38;1;integration;-
39;1;user interface;api
40;0;-;-
41;1;component;-
42;1;integration;-
43;1;programming language;framework
44;0;-;-
45;1;framework;-
46;1;programming language;-
47;0;-;-
48;1;platform;-
49;1;platform;-
50;0;-;-
51;1;programming language;-
52;1;platform;-
53;0;-;-
54;1;platform;-
55;0;-;-
