sentence_number;design_decision;classification;alternative_classification
1;0;-;-
2;1;architectural pattern;-
3;1;data base;-
4;0;-;-
5;0;-;-
6;1;architectural style;component
7;1;data base;-
8;1;api;class
9;1;data base;-
10;1;platform;-
11;0;-;-
12;1;inheritance;relation
13;1;organizational/process-related;-
14;0;-;-
15;1;integration;function
16;1;integration;relation
17;1;association;data base
18;0;-;-
19;1;integration;function
20;1;relation;-
21;0;-;-
22;1;relation;-
23;1;relation;-
24;1;relation;class
25;1;class;programming language
26;0;-;-
27;1;relation;class
28;1;relation;-
29;1;relation;relation
30;1;relation;-
31;0;-;-
32;1;data file;-
33;1;data file;-
34;1;organizational/process-related;-
35;0;-;-
36;1;data base;-
37;1;design rule;algorithm
38;1;function;data base
39;0;-;-
40;0;-;-
41;1;inheritance;-
42;1;association;-
43;1;association;-
44;1;class;association
45;1;class;association
46;1;function;-
47;1;algorithm;function
48;1;algorithm;-
49;0;-;-
50;0;-;-
51;1;integration;class
52;1;integration;component
53;1;function;-
54;1;class;-
55;0;-;-
56;0;-;-
57;1;class;-
58;1;relation;-
59;1;relation;-
60;1;relation;relation
61;1;class;data base
62;1;class;-
63;0;-;-
64;0;-;-
65;0;-;-
66;1;association;-
67;1;association;-
68;1;association;programming language
69;1;integration;function
70;1;design rule;-
71;1;association;-
72;1;association;-
73;1;api;function
74;1;guideline;class
75;1;relation;-
76;1;class;-
77;0;-;-
78;0;-;-
79;1;relation;-
80;1;class;-
81;1;association;-
82;1;relation;class
83;1;function;-
84;1;integration;-
85;0;-;-
86;0;-;-
87;1;relation;-
88;1;relation;-
89;1;class;-
90;1;inheritance;-
91;1;association;-
92;1;association;-
93;1;association;-
94;1;association;algorithm
95;1;association;-
96;0;-;-
97;1;relation;-
98;1;relation;-
99;1;relation;-
100;1;relation;-
101;1;class;-
102;1;class;-
103;1;function;integration
104;1;function;class
105;1;function;-
106;0;-;-
107;0;-;-
108;1;algorithm;-
109;1;algorithm;function
110;1;algorithm;-
111;1;algorithm;-
112;1;function;-
113;1;algorithm;-
114;1;algorithm;-
115;1;algorithm;integration
116;1;algorithm;-
117;0;-;-
118;1;integration;function
119;1;association;-
120;1;data base;-
121;1;data base;-
122;1;function;association
123;0;-;-
124;0;-;-
125;1;design rule;-
126;1;design rule;-
127;1;design rule;-
128;1;function;-
129;1;relation;-
130;1;relation;-
131;1;function;-
132;1;function;-
133;1;algorithm;-
134;1;function;-
135;1;function;-
