sentence_number;design_decision;classification;alternative_classification
1;0;-;-
2;0;-;-
3;0;-;-
4;1;user interface;component
5;1;component;-
6;1;data base;component
7;1;component;-
8;1;component;-
9;1;component;-
10;1;component;-
11;0;-;-
12;0;-;-
13;0;-;-
14;0;-;-
15;0;-;-
16;1;platform;-
17;0;-;-
18;1;programming language;user interface
19;1;framework;user interface
20;1;messaging;-
21;1;api;component
22;1;programming language;component
23;1;data base;framework
24;1;component;-
25;1;messaging;-
26;1;framework;programming language
27;1;component;-
28;1;function;-
29;1;framework;-
30;1;component;-
31;1;function;-
32;1;component;-
33;0;-;-
34;1;component;-
35;0;-;-
36;1;component;-
37;0;-;-
38;0;-;-
39;1;architectural pattern;-
40;1;component;-
41;0;-;-
42;1;user interface;component
43;0;-;-
44;1;user interface;component
45;0;-;-
46;1;user interface;component
47;0;-;-
48;0;-;-
49;1;component;-
50;1;framework;programming language
51;1;framework;programming language
52;0;-;-
53;1;component;function
54;0;-;-
55;0;-;-
56;1;function;-
57;1;function;data file
58;1;function;class
59;0;-;-
60;1;inheritance;-
61;0;-;-
62;0;-;-
63;0;-;-
64;1;function;-
65;0;-;-
66;0;-;-
67;0;-;-
68;0;-;-
69;0;-;-
70;0;-;-
71;1;class;-
72;1;function;class
73;1;function;messaging
74;0;-;-
75;1;messaging;-
76;0;-;-
77;1;class;-
78;1;architectural pattern;class
79;1;class;-
80;1;function;class
81;1;function;component
82;1;class;function
83;1;class;-
84;1;function;class
85;0;-;-
86;1;data file;-
87;0;-;-
88;1;api;-
89;1;algorithm;-
90;1;algorithm;-
91;0;-;-
92;1;design rule;-
93;1;design rule;-
94;0;-;-
95;0;-;-
96;0;-;-
97;1;function;-
98;0;-;-
99;0;-;-
100;1;function;-
101;1;function;-
102;1;function;-
103;1;function;-
104;1;class;function
105;0;-;-
106;1;component;-
107;1;function;-
108;1;data file;-
109;1;function;-
110;1;function;-
111;1;inheritance;data file
112;0;-;-
113;1;architectural pattern;-
114;0;-;-
115;1;architectural pattern;-
116;0;-;-
117;0;-;-
118;0;-;-
119;1;interface;-
120;0;-;-
121;1;interface;-
122;1;class;-
123;1;interface;-
124;1;api;function
125;1;api;-
126;1;api;-
127;1;api;-
