sentence_number;design_decision;classification;alternative_classification
1;0;-;-
2;1;component;-
3;1;programming language;-
4;1;integration;-
5;1;programming language;platform
6;1;platform;-
7;1;platform;-
8;1;user interface;-
9;1;organizational/process-related;-
10;0;-;-
11;0;-;-
12;0;-;-
13;0;-;-
14;0;-;-
15;0;-;-
16;0;-;-
17;0;-;-
18;0;-;-
19;0;-;-
20;0;-;-
21;0;-;-
22;0;-;-
23;0;-;-
24;0;-;-
25;0;-;-
26;1;messaging;-
27;1;messaging;-
28;0;-;-
29;1;relation;messaging
30;1;class;-
31;1;relation;-
32;1;relation;-
33;1;relation;-
34;0;-;-
35;1;function;messaging
36;1;messaging;-
37;0;-;-
38;0;-;-
39;1;class;-
40;1;relation;class
41;1;class;-
42;0;-;-
43;1;relation;-
44;0;-;-
45;1;function;-
46;1;relation;-
47;1;class;-
48;1;relation;function
49;1;class;-
50;1;algorithm;-
51;1;relation;-
52;0;-;-
53;0;-;-
54;1;relation;class
55;1;class;-
56;1;function;-
57;1;function;-
58;1;relation;-
59;1;design rule;-
60;1;class;-
61;0;-;-
62;1;relation;-
63;1;class;messaging
64;1;function;-
65;1;messaging;-
66;1;relation;-
67;1;relation;-
68;0;-;-
69;0;-;-
70;0;-;-
71;0;-;-
72;0;-;-
73;0;-;-
74;1;relation;-
75;1;relation;-
76;1;algorithm;-
77;1;algorithm;-
78;1;algorithm;-
79;1;algorithm;-
80;0;-;-
81;1;relation;-
82;1;function;-
83;0;-;-
84;0;-;-
85;1;inheritance;-
86;1;interface;-
87;1;algorithm;-
88;1;inheritance;-
89;1;function;-
90;1;inheritance;-
91;1;class;-
92;1;inheritance;function
93;0;-;-
94;0;-;-
95;1;class;-
96;1;inheritance;-
97;1;interface;function
98;1;inheritance;-
99;1;function;inheritance
100;1;function;inheritance
101;1;relation;-
102;0;-;-
103;0;-;-
104;1;class;-
105;1;class;-
106;1;class;function
107;1;function;-
108;0;-;-
109;0;-;-
110;0;-;-
111;0;-;-
112;0;-;-
113;0;-;-
114;1;algorithm;-
115;0;-;-
116;0;-;-
117;0;-;-
118;0;-;-
119;0;-;-
120;0;-;-
121;0;-;-
122;0;-;-
123;1;guideline;tool
124;1;programming language;-
125;1;integration;-
126;1;guideline;-
127;1;platform;-
128;0;-;-
129;1;programming language;-
130;1;programming language;-
131;1;programming language;-
132;0;-;-
133;0;-;-
134;0;-;-
